,Year,Name,Resource,Data type,Objects,Indoor sites,Urban (S),Urban (D),Industrial,Infrastructure / Rural,Panoramic cameras,Stereo camera,RGB-D,TLS,MLS,ALS,Aerial photogrammetry,IMU,GPS,RGB sequence,Depth sequence,Point cloud,3D model,RGB,Intensity,Mesh,Normals,# Sem. classes,Object detection,Pose estimation,Shape classfication,Object tracking,Semantic segmentation,Instance sem. segmentation,PC registration,Scene reconstruction,Surface reconstruction,Volume reconstruction,SLAM,# Points,# Frames,# Scenes,# Scans
1,2009,Oakland 3-D,https://www.ri.cmu.edu/pub_files/2009/6/munoz_cvpr_09.pdf,R,,,1,,,,,,,1,,,,,,,,1,,,,,,5,,,,,1,,,,,,,"1,6M",,,
2,2011,Ford Campus Vision and Lidar Data Set,http://robots.engin.umich.edu/uploads/SoftwareData/Ford/ijrr2011.pdf,R,,,,1,,,1,,,,1,,,1,1,1,,1,,1,1,,,,1,,,,1,,,,,,1,,,2,
3,2012,KITTI stereo evaluation 2012,https://www.cvlibs.net/publications/Geiger2012CVPR.pdf,R,,,,1,,,,1,,,1,,,1,1,1,1,,,1,,,,8,1,1,,1,1,1,,,,,1,,"1,5K",22,
4,2013,NYUv2,https://arxiv.org/pdf/1301.3572.pdf,R,,1,,,,,,,1,,,,,,,1,1,,,,,,,14,,,,,1,,,,,,,,"407,0K",464,
5,2013,SUN3D,https://vision.princeton.edu/projects/2013/SUN3D/paper.pdf,R,,1,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,1,,1,,,,,,254,415
6,2013,Sydney Urban Objects,https://www.araa.asn.au/acra/acra2013/papers/pap133s1-file1.pdf,R,1,,,,,,,,,,1,,,,,,,1,,,,,,14,,,1,,,,,,,,,,,,613
7,2014,Paris-rue-Madame database,https://hal.archives-ouvertes.fr/hal-00963812/document,R,,,,1,,,,,,,1,,,,,,,1,,,1,,,17,,,,,1,1,,,,,,"2,0M",,1,2
8,2015,iQmulus ,https://www.sciencedirect.com/science/article/abs/pii/S009784931500028X,R,,,,1,,,,,,,1,,,,,,,1,,,1,,,8,,,,,1,1,,,,,,"300,0M",,10,
9,2015,NCTL Dataset,https://journals.sagepub.com/doi/10.1177/0278364915614638,R,,1,1,,,,1,,,,1,,,1,1,1,,1,,,,,,,,,,,,,,,,,1,,,1,27
10,2015,SceneNet,https://arxiv.org/pdf/1511.07041v2.pdf,S,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,,,1,1,,,,,59,
11,2015,ShapeNet,https://arxiv.org/abs/1512.03012,S,1,,,,,,,,,,,,,,,,,,1,,,1,,270,,,1,,,,,,1,1,,,,51300,
12,2015,SUN RGB-D,https://rgbd.cs.princeton.edu/paper.pdf,R,,1,,,,,,,1,,,,,,,1,1,,,,,,,53,1,1,,,1,,,,,,,,"10,3K",10335,10335
13,2016,ObjectNet3D,https://cvgl.stanford.edu/papers/xiang_eccv16.pdf,S,1,,,,,,,,,,,,,,,1,,,,,,,,100,1,1,,,1,1,,,,,,,"90,1K",,
